idx,name,fp32_lpips,int8_lpips,lpips_rise,int8_vs_fp32_lpips
25,0826.png,0.1885194182395935,0.1896074116230011,0.0010879933834075928,0.0017301650950685143
26,0827.png,0.11326323449611664,0.08946753293275833,-0.023795701563358307,0.007614342961460352
27,0828.png,0.18315421044826508,0.18468120694160461,0.0015269964933395386,0.00041224813321605325
28,0829.png,0.3691922128200531,0.36197930574417114,-0.007212907075881958,0.0017093510832637548
29,0830.png,0.3332981765270233,0.31937316060066223,-0.013925015926361084,0.002998125273734331
30,0831.png,0.06254199147224426,0.05183354392647743,-0.01070844754576683,0.007555102929472923
31,0832.png,0.24035941064357758,0.23269377648830414,-0.0076656341552734375,0.00468448968604207
32,0833.png,0.14401277899742126,0.10903674364089966,-0.034976035356521606,0.022024080157279968
33,0834.png,0.3494001030921936,0.3268207013607025,-0.02257940173149109,0.012844681739807129
34,0835.png,0.34623202681541443,0.32693785429000854,-0.019294172525405884,0.0067615509033203125
35,0836.png,0.35904332995414734,0.3320164382457733,-0.027026891708374023,0.0063619595021009445
36,0837.png,0.2686077356338501,0.2577911615371704,-0.010816574096679688,0.0087562445551157
37,0838.png,0.2860462963581085,0.23087646067142487,-0.055169835686683655,0.01572383940219879
38,0839.png,0.3873506486415863,0.34580710530281067,-0.041543543338775635,0.008558252826333046
39,0840.png,0.17942123115062714,0.16713522374629974,-0.012286007404327393,0.0074248239398002625
40,0841.png,0.21933043003082275,0.21261639893054962,-0.006714031100273132,0.003774079494178295
41,0842.png,0.20876003801822662,0.17517223954200745,-0.03358779847621918,0.022642459720373154
42,0843.png,0.15041027963161469,0.12950360774993896,-0.02090667188167572,0.006479795090854168
43,0844.png,0.07512772083282471,0.07487528026103973,-0.00025244057178497314,0.0653354674577713
44,0845.png,0.21377453207969666,0.15282481908798218,-0.06094971299171448,0.031062990427017212
45,0846.png,0.1270233541727066,0.11696837842464447,-0.010054975748062134,0.002573767676949501
46,0847.png,0.06338745355606079,0.0604826919734478,-0.0029047615826129913,0.0011390941217541695
47,0848.png,0.2408406138420105,0.23347043991088867,-0.007370173931121826,0.0023640207946300507
48,0849.png,0.2154710590839386,0.20649850368499756,-0.00897255539894104,0.004582896828651428
49,0850.png,0.180324524641037,0.17419829964637756,-0.006126224994659424,0.007016601972281933
50,0851.png,0.1910964995622635,0.1703486293554306,-0.020747870206832886,0.006265474483370781
51,0852.png,0.263639897108078,0.23993876576423645,-0.023701131343841553,0.009206205606460571
52,0853.png,0.05078618973493576,0.04740649089217186,-0.0033796988427639008,0.002223455812782049
53,0854.png,0.3231409192085266,0.3125019073486328,-0.010639011859893799,0.002590898424386978
54,0855.png,0.4192827641963959,0.3712991774082184,-0.04798358678817749,0.01566489227116108
55,0856.png,0.2697046995162964,0.2607816457748413,-0.008923053741455078,0.0018825007136911154
56,0857.png,0.21392756700515747,0.15042489767074585,-0.06350266933441162,0.020463235676288605
57,0858.png,0.18383727967739105,0.1731625497341156,-0.010674729943275452,0.0025671785697340965
58,0859.png,0.1730097085237503,0.1675739586353302,-0.005435749888420105,0.0029740973841398954
59,0860.png,0.17033030092716217,0.17011208832263947,-0.00021821260452270508,0.0007070727297104895
60,0861.png,0.15526972711086273,0.1558971405029297,0.0006274133920669556,0.002578137209638953
61,0862.png,0.4466511011123657,0.42663082480430603,-0.020020276308059692,0.00872934702783823
62,0863.png,0.3283405303955078,0.3045409023761749,-0.023799628019332886,0.00945214182138443
63,0864.png,0.21286597847938538,0.18742476403713226,-0.025441214442253113,0.007033123169094324
64,0865.png,0.24275000393390656,0.23386768996715546,-0.008882313966751099,0.006692558526992798
65,0866.png,0.234482541680336,0.19808702170848846,-0.036395519971847534,0.039811812341213226
66,0867.png,0.1220988854765892,0.11551368981599808,-0.0065851956605911255,0.0027677370235323906
67,0868.png,0.2501855194568634,0.23739632964134216,-0.01278918981552124,0.0038741135504096746
68,0869.png,0.24282750487327576,0.22585856914520264,-0.01696893572807312,0.010138354264199734
69,0870.png,0.14502781629562378,0.13363276422023773,-0.011395052075386047,0.0029801593627780676
70,0871.png,0.29813939332962036,0.2821671962738037,-0.01597219705581665,0.00593236368149519
71,0872.png,0.34120309352874756,0.31821945309638977,-0.022983640432357788,0.004738222807645798
72,0873.png,0.35951894521713257,0.3557962477207184,-0.0037226974964141846,0.0024954709224402905
73,0874.png,0.10961897671222687,0.10114505141973495,-0.008473925292491913,0.04793671891093254
74,0875.png,0.18792741000652313,0.17995643615722656,-0.00797097384929657,0.0029631531797349453
75,0876.png,0.23785701394081116,0.2260284274816513,-0.011828586459159851,0.0030242777429521084
76,0877.png,0.0931512638926506,0.08839470148086548,-0.004756562411785126,0.02464156225323677
77,0878.png,0.19107332825660706,0.17159007489681244,-0.019483253359794617,0.00640358030796051
78,0879.png,0.1456468254327774,0.1401195526123047,-0.005527272820472717,0.0025252439081668854
79,0880.png,0.1827290654182434,0.16853830218315125,-0.014190763235092163,0.006153799127787352
80,0881.png,0.2314099669456482,0.22510574758052826,-0.006304219365119934,0.0012995828874409199
81,0882.png,0.33831334114074707,0.3245854377746582,-0.013727903366088867,0.0041288514621555805
82,0883.png,0.2011631429195404,0.1935415118932724,-0.007621631026268005,0.0023525538854300976
83,0884.png,0.29234734177589417,0.28449809551239014,-0.007849246263504028,0.003307116450741887
84,0885.png,0.24950872361660004,0.24261578917503357,-0.006892934441566467,0.0014330699341371655
85,0886.png,0.1529548615217209,0.1385495811700821,-0.014405280351638794,0.003744550282135606
86,0887.png,0.17454546689987183,0.17036795616149902,-0.004177510738372803,0.0009525730856694281
87,0888.png,0.06518713384866714,0.05863471329212189,-0.006552420556545258,0.0028157993219792843
88,0889.png,0.2104358971118927,0.17408017814159393,-0.03635571897029877,0.019220130518078804
89,0890.png,0.23685500025749207,0.22313381731510162,-0.013721182942390442,0.00640527531504631
90,0891.png,0.24435612559318542,0.22942446172237396,-0.014931663870811462,0.013025665655732155
91,0892.png,0.1455685794353485,0.12740424275398254,-0.018164336681365967,0.004800193943083286
92,0893.png,0.33106887340545654,0.24623452126979828,-0.08483435213565826,0.05140446126461029
93,0894.png,0.14116579294204712,0.13837334513664246,-0.002792447805404663,0.011919415555894375
94,0895.png,0.3994975686073303,0.38779449462890625,-0.011703073978424072,0.0035036513581871986
95,0896.png,0.09306733310222626,0.08122781664133072,-0.011839516460895538,0.005522330291569233
96,0897.png,0.17558994889259338,0.17230823636054993,-0.003281712532043457,0.0006679238867945969
97,0898.png,0.10131099075078964,0.09862155467271805,-0.0026894360780715942,0.0009484767797403038
98,0899.png,0.10255156457424164,0.09795541316270828,-0.004596151411533356,0.0023412038572132587
99,0900.png,0.16320054233074188,0.1473134309053421,-0.01588711142539978,0.0039648148231208324
