idx,name,fp32_lpips,int8_lpips,lpips_rise,int8_vs_fp32_lpips
43,0844.png,0.07512772083282471,0.10569456964731216,0.030566848814487457,0.12311364710330963
44,0845.png,0.21377453207969666,0.11587560176849365,-0.097898930311203,0.06193315237760544
45,0846.png,0.1270233541727066,0.10867000371217728,-0.018353350460529327,0.008678983896970749
46,0847.png,0.06338745355606079,0.0597369559109211,-0.003650497645139694,0.003929944708943367
47,0848.png,0.2408406138420105,0.2237847000360489,-0.01705591380596161,0.008179852738976479
48,0849.png,0.2154710590839386,0.20198829472064972,-0.01348276436328888,0.016780443489551544
49,0850.png,0.180324524641037,0.17617551982402802,-0.004149004817008972,0.023267308250069618
50,0851.png,0.1910964995622635,0.1494969129562378,-0.041599586606025696,0.022928474470973015
51,0852.png,0.263639897108078,0.21697545051574707,-0.04666444659233093,0.031020427122712135
52,0853.png,0.05078618973493576,0.04626207426190376,-0.004524115473031998,0.006776290945708752
53,0854.png,0.3231409192085266,0.2976189851760864,-0.025521934032440186,0.010014750994741917
54,0855.png,0.4192827641963959,0.31875133514404297,-0.1005314290523529,0.050627175718545914
55,0856.png,0.2697046995162964,0.24856716394424438,-0.021137535572052002,0.0075393375009298325
56,0857.png,0.21392756700515747,0.10901127755641937,-0.1049162894487381,0.061991263180971146
57,0858.png,0.18383727967739105,0.16073596477508545,-0.023101314902305603,0.00982961617410183
58,0859.png,0.1730097085237503,0.16172030568122864,-0.011289402842521667,0.0102849081158638
59,0860.png,0.17033030092716217,0.1670246720314026,-0.0033056288957595825,0.002374952659010887
60,0861.png,0.15526972711086273,0.15395620465278625,-0.001313522458076477,0.007193081080913544
61,0862.png,0.4466511011123657,0.40269994735717773,-0.04395115375518799,0.03001682460308075
62,0863.png,0.3283405303955078,0.2816038727760315,-0.04673665761947632,0.03810381144285202
63,0864.png,0.21286597847938538,0.15642280876636505,-0.056443169713020325,0.027871591970324516
64,0865.png,0.24275000393390656,0.22701150178909302,-0.015738502144813538,0.02214580401778221
65,0866.png,0.234482541680336,0.18519070744514465,-0.049291834235191345,0.0822305977344513
66,0867.png,0.1220988854765892,0.11229293793439865,-0.009805947542190552,0.011689278297126293
67,0868.png,0.2501855194568634,0.2276449352502823,-0.022540584206581116,0.012590448372066021
68,0869.png,0.24282750487327576,0.21214699745178223,-0.03068050742149353,0.028954889625310898
69,0870.png,0.14502781629562378,0.11662375926971436,-0.028404057025909424,0.010694487020373344
70,0871.png,0.29813939332962036,0.2727982997894287,-0.02534109354019165,0.022791508585214615
71,0872.png,0.34120309352874756,0.29596105217933655,-0.04524204134941101,0.017032330855727196
72,0873.png,0.35951894521713257,0.35091736912727356,-0.008601576089859009,0.007324439473450184
